ID,Protected_Area,Violation_Type,Year,Season,Area_m2,Distance_To_Road_km,Distance_To_Urban_km,Fine_Amount,Risk_Level
1134,روضة التنهات,التخلص من نفايات خطرة داخل المحمية,2022,Winter,99488,10.6,46.6,1312066,High
1135,الملك خالد,رعي الإبل أو الأبقار (للرأس الواحد),2025,Spring,443,9.2,28.2,200,Low
1136,روضة التنهات,ترك أو رمي النفايات غير الخطرة,2014,Summer,216,8.8,32.1,5953,Low
1137,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2007,Autumn,33743,18.5,26.6,82161,High
1138,الإمام تركي,إطلاق كائنات فطرية غازية أو دخيلة,2000,Winter,5909,16.1,3.9,124110,High
1139,الملك خالد,التخلص من نفايات خطرة داخل المحمية,2018,Autumn,36958,9.3,15.6,1972775,High
1140,روضة التنهات,إشعال النار في غير الأماكن المخصصة,2008,Autumn,510,6.3,5.2,20000,Medium
1141,الملك عبدالعزيز,سير المركبات في غير المسارات المخصصة,2017,Summer,74,11.9,41.9,3288,Medium
1142,الملك خالد,حرق النباتات أو الأشجار,2021,Autumn,4153,20.0,49.8,20000,High
1143,الإمام تركي,رعي الضأن أو الماعز (للرأس الواحد),2004,Summer,144,10.6,48.5,100,Medium
1144,الإمام تركي,جمع منتجات كائنات مهددة بالانقراض,2008,Summer,74930,18.2,40.4,72228,High
1145,الملك خالد,التخييم في المحمية بدون ترخيص,2018,Spring,101,9.9,39.4,646,Low
1146,الملك خالد,رعي الإبل أو الأبقار (للرأس الواحد),2010,Spring,170,5.6,16.9,200,Low
1147,الإمام تركي,جمع منتجات كائنات مهددة بالانقراض,2010,Winter,84431,15.3,1.2,220821,High
1148,روضة التنهات,ممارسة أنشطة علمية بدون ترخيص,2019,Spring,1404,13.2,24.1,8436,Medium
1149,الملك عبدالعزيز,ممارسة أنشطة علمية بدون ترخيص,2019,Summer,1686,8.9,31.3,49223,Medium
1150,روضة التنهات,سير المركبات في غير المسارات المخصصة,2014,Spring,232,11.7,25.9,317,Low
1151,الملك عبدالعزيز,ممارسة أنشطة علمية بدون ترخيص,2008,Autumn,1365,12.6,35.3,12173,Medium
1152,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2012,Summer,33343,5.3,12.8,865738,High
1153,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2013,Autumn,95898,2.0,24.3,50148,High
1154,الملك خالد,سير المركبات في غير المسارات المخصصة,2003,Spring,365,8.3,39.2,9316,Low
1155,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2025,Autumn,332,7.7,25.6,100,Low
1156,الإمام تركي,دخول المحمية بدون تصريح,2002,Summer,98,15.2,40.7,5000,Low
1157,الملك عبدالعزيز,ممارسة أنشطة علمية بدون ترخيص,2006,Spring,770,14.7,32.2,43503,Medium
1158,الملك خالد,رعي الإبل أو الأبقار (للرأس الواحد),2006,Summer,186,3.8,13.4,200,Low
1159,الإمام تركي,إطلاق كائنات فطرية غازية أو دخيلة,2007,Spring,72321,3.5,14.1,55798,High
1160,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2024,Summer,4798,18.8,45.7,34092,Medium
1161,الملك خالد,التخييم في المحمية بدون ترخيص,2008,Spring,404,17.9,48.6,5699,Low
1162,الملك عبدالعزيز,التخلص من نفايات خطرة داخل المحمية,2009,Winter,47029,0.3,22.7,1724799,High
1163,الإمام تركي,رعي الضأن أو الماعز (للرأس الواحد),2025,Winter,165,12.3,43.6,100,Low
1164,الإمام تركي,جمع منتجات كائنات مهددة بالانقراض,2004,Spring,6559,2.5,27.1,100893,High
1165,الملك خالد,دخول المحمية بدون تصريح,2024,Winter,176,3.3,40.8,5000,Low
1166,الإمام تركي,جمع منتجات كائنات مهددة بالانقراض,2015,Winter,25874,1.1,3.2,254986,High
1167,روضة التنهات,ممارسة أنشطة علمية بدون ترخيص,2023,Summer,638,13.4,1.0,19890,Medium
1168,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2025,Autumn,44770,9.0,44.9,35457,High
1169,الملك عبدالعزيز,جمع منتجات كائنات مهددة بالانقراض,2012,Winter,57137,13.2,22.1,50559,High
1170,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2000,Winter,298,1.2,7.9,100,Low
1171,الإمام تركي,ممارسة أنشطة علمية بدون ترخيص,2005,Winter,3899,16.9,36.4,1432,Medium
1172,روضة التنهات,ممارسة أنشطة علمية بدون ترخيص,2010,Winter,756,17.9,33.0,34439,Medium
1173,الملك خالد,جمع منتجات كائنات مهددة بالانقراض,2016,Autumn,66256,5.9,19.3,84743,High
1174,الملك عبدالعزيز,إطلاق كائنات فطرية غازية أو دخيلة,2013,Spring,77322,15.8,2.5,154938,High
1175,الإمام تركي,التخلص من نفايات خطرة داخل المحمية,2001,Winter,27666,19.5,30.7,1201278,High
1176,الملك عبدالعزيز,إشعال النار في غير الأماكن المخصصة,2014,Spring,1212,10.7,24.6,20000,Medium
1177,الإمام تركي,دخول المحمية بدون تصريح,2013,Summer,223,14.8,10.3,5000,Low
1178,الملك عبدالعزيز,ترك أو رمي النفايات غير الخطرة,2015,Summer,498,1.7,49.6,5332,Low
1179,الملك عبدالعزيز,دخول المحمية بدون تصريح,2003,Spring,317,10.7,47.3,5000,Low
1180,الملك خالد,حرق النباتات أو الأشجار,2005,Spring,882,2.7,7.0,20000,Medium
1181,روضة التنهات,دخول المحمية بدون تصريح,2003,Autumn,377,6.7,3.1,5000,Low
1182,الملك عبدالعزيز,إقامة منشآت أو مبانٍ بدون ترخيص,2021,Summer,65313,19.7,47.3,1341064,High
1183,الملك خالد,رعي الضأن أو الماعز (للرأس الواحد),2016,Autumn,165,10.9,42.6,100,Low
1184,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2007,Summer,95570,13.9,26.4,494540,High
1185,الملك خالد,الزراعة داخل المحمية بدون ترخيص,2012,Summer,2348,3.4,18.8,30000,Medium
1186,الإمام تركي,ممارسة أنشطة علمية بدون ترخيص,2017,Spring,3526,19.7,28.5,40477,Medium
1187,الإمام تركي,رعي الضأن أو الماعز (للرأس الواحد),2006,Autumn,298,0.6,18.1,100,Low
1188,الإمام تركي,التخييم في المحمية بدون ترخيص,2015,Summer,185,11.2,37.2,9541,Low
1189,روضة التنهات,دخول المحمية بدون تصريح,2011,Summer,483,5.1,4.2,5000,Low
1190,الملك خالد,قطع الأشجار أو الاحتطاب,2023,Summer,1464,10.3,25.3,20000,Medium
1191,روضة التنهات,التخلص من نفايات خطرة داخل المحمية,2018,Winter,57134,7.2,26.3,1538017,High
1192,الملك عبدالعزيز,جمع منتجات كائنات مهددة بالانقراض,2007,Summer,14386,3.9,6.7,365315,High
1193,روضة التنهات,إطلاق كائنات فطرية غازية أو دخيلة,2009,Summer,19260,10.6,37.0,11074,High
1194,الملك خالد,إشعال النار في غير الأماكن المخصصة,2011,Winter,1546,9.3,10.5,20000,Medium
1195,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2025,Spring,62124,5.7,7.2,187682,High
1196,الملك عبدالعزيز,التخلص من نفايات خطرة داخل المحمية,2020,Winter,76437,6.9,35.7,830329,High
1197,الإمام تركي,إطلاق كائنات فطرية غازية أو دخيلة,2002,Spring,48284,10.8,22.4,82932,High
1198,الملك عبدالعزيز,دخول المحمية بدون تصريح,2019,Winter,498,5.9,49.2,5000,Low
1199,الملك خالد,إتلاف المنشآت الثابتة أو المسيجات,2011,Autumn,90677,12.3,3.0,152320,High
1200,روضة التنهات,التخييم في المحمية بدون ترخيص,2004,Spring,495,12.3,17.4,9811,Low
1201,الإمام تركي,ترك أو رمي النفايات غير الخطرة,2023,Spring,40,14.0,42.8,6080,Low
1202,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2018,Summer,86,6.9,7.8,100,Low
1203,روضة التنهات,ترك أو رمي النفايات غير الخطرة,2006,Autumn,406,19.2,30.4,4041,Low
1204,الإمام تركي,قطع الأشجار أو الاحتطاب,2020,Summer,2224,5.5,11.4,20000,Medium
1205,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2004,Winter,67576,8.2,25.8,1933035,High
1206,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2025,Winter,12973,13.7,13.4,773361,High
1207,روضة التنهات,إشعال النار في غير الأماكن المخصصة,2025,Summer,2311,9.9,48.1,20000,Medium
1208,الملك خالد,رعي الإبل أو الأبقار (للرأس الواحد),2002,Autumn,296,4.9,39.6,200,Low
1209,الإمام تركي,الزراعة داخل المحمية بدون ترخيص,2001,Winter,1190,18.6,39.7,30000,Medium
1210,الملك خالد,إشعال النار في غير الأماكن المخصصة,2018,Winter,4028,5.3,5.1,20000,Medium
1211,الإمام تركي,قطع الأشجار أو الاحتطاب,2007,Spring,915,0.8,10.6,20000,Medium
1212,روضة التنهات,ممارسة أنشطة علمية بدون ترخيص,2005,Winter,1492,19.8,9.2,38138,Medium
1213,الملك عبدالعزيز,ممارسة أنشطة علمية بدون ترخيص,2023,Autumn,1207,2.2,29.1,36165,Medium
1214,الملك عبدالعزيز,إشعال النار في غير الأماكن المخصصة,2012,Autumn,1476,9.0,10.2,20000,Medium
1215,الملك خالد,ترك أو رمي النفايات غير الخطرة,2022,Winter,483,2.4,36.3,6591,High
1216,الملك عبدالعزيز,دخول المحمية بدون تصريح,2001,Summer,353,5.6,36.9,5000,Low
1217,الملك عبدالعزيز,إطلاق كائنات فطرية غازية أو دخيلة,2003,Summer,14399,6.0,21.2,136733,High
1218,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2021,Winter,436,14.7,19.2,8215,Low
1219,روضة التنهات,ممارسة أنشطة علمية بدون ترخيص,2000,Winter,4868,8.4,36.8,12179,Medium
1220,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2018,Spring,3064,17.9,6.8,20000,Medium
1221,روضة التنهات,إشعال النار في غير الأماكن المخصصة,2018,Spring,886,14.7,15.9,20000,Medium
1222,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2015,Summer,61414,16.8,42.5,982320,High
1223,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2021,Summer,4417,17.8,42.2,46802,Medium
1224,الملك عبدالعزيز,إطلاق كائنات فطرية غازية أو دخيلة,2023,Winter,48151,19.2,10.3,158112,High
1225,الملك عبدالعزيز,ممارسة أنشطة علمية بدون ترخيص,2017,Spring,2262,7.5,8.1,30048,Medium
1226,روضة التنهات,حرق النباتات أو الأشجار,2013,Summer,3744,6.6,49.2,20000,Medium
1227,الإمام تركي,حرق النباتات أو الأشجار,2012,Autumn,2784,11.2,44.8,20000,Medium
1228,روضة التنهات,جمع منتجات كائنات مهددة بالانقراض,2003,Winter,5694,13.8,26.2,65588,High
1229,روضة التنهات,إطلاق كائنات فطرية غازية أو دخيلة,2012,Autumn,52361,3.0,4.6,68847,High
1230,الإمام تركي,التخلص من نفايات خطرة داخل المحمية,2006,Summer,78168,13.4,24.4,1720979,High
1231,الملك عبدالعزيز,رعي الضأن أو الماعز (للرأس الواحد),2018,Autumn,78,6.4,33.9,100,Low
1232,روضة التنهات,جمع منتجات كائنات مهددة بالانقراض,2007,Summer,15532,3.6,16.8,260126,High
1233,الملك خالد,إشعال النار في غير الأماكن المخصصة,2000,Summer,653,10.5,15.3,20000,Medium
1234,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2006,Spring,99786,11.2,37.2,176406,High
1235,الإمام تركي,دخول المحمية بدون تصريح,2024,Summer,325,16.8,4.5,5000,Low
1236,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2003,Winter,91158,8.3,34.8,105264,High
1237,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2003,Summer,170,12.9,18.4,8908,Low
1238,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2020,Winter,58934,10.8,42.2,289157,High
1239,الملك خالد,حرق النباتات أو الأشجار,2022,Summer,1839,11.7,3.7,20000,Medium
1240,الملك خالد,الزراعة داخل المحمية بدون ترخيص,2007,Autumn,4272,11.1,46.6,30000,Medium
1241,الملك خالد,ترك أو رمي النفايات غير الخطرة,2010,Autumn,486,8.5,46.8,2573,Low
1242,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2020,Spring,1660,1.8,32.1,20000,Medium
1243,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2025,Summer,91555,12.1,9.0,51095,High
1244,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2001,Spring,56999,3.5,37.3,81153,High
1245,روضة التنهات,إطلاق كائنات فطرية غازية أو دخيلة,2000,Spring,86144,2.7,21.8,177499,High
1246,روضة التنهات,رعي الإبل أو الأبقار (للرأس الواحد),2015,Summer,479,12.1,28.4,200,Low
1247,الملك عبدالعزيز,إشعال النار في غير الأماكن المخصصة,2016,Spring,1792,14.3,33.3,20000,Medium
1248,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2021,Winter,4012,6.8,24.0,20000,Medium
1249,روضة التنهات,ترك أو رمي النفايات غير الخطرة,2013,Summer,14,15.0,31.9,9953,Low
1250,روضة التنهات,التخييم في المحمية بدون ترخيص,2014,Autumn,147,5.8,32.3,777,Low
1251,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2000,Summer,160,18.5,2.2,200,Low
1252,الإمام تركي,التخييم في المحمية بدون ترخيص,2002,Autumn,453,13.1,36.6,3304,Low
1253,الملك خالد,قطع الأشجار أو الاحتطاب,2004,Winter,3935,5.5,40.2,20000,Medium
1254,الملك خالد,التخييم في المحمية بدون ترخيص,2017,Autumn,184,19.8,13.1,8211,Low
1255,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2023,Summer,33024,2.2,22.1,276022,High
1256,روضة التنهات,دخول المحمية بدون تصريح,2017,Winter,389,13.1,4.4,5000,Low
1257,الملك خالد,حرق النباتات أو الأشجار,2010,Winter,1373,17.1,46.5,20000,Medium
1258,الملك عبدالعزيز,ممارسة أنشطة علمية بدون ترخيص,2021,Spring,2359,2.6,40.9,41984,Medium
1259,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2016,Spring,184,12.2,34.9,100,Low
1260,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2015,Spring,4246,12.3,41.8,5023,Medium
1261,الإمام تركي,التخييم في المحمية بدون ترخيص,2018,Summer,173,5.1,42.0,3237,Low
1262,روضة التنهات,جمع منتجات كائنات مهددة بالانقراض,2022,Spring,38001,13.3,44.2,51391,High
1263,الإمام تركي,ترك أو رمي النفايات غير الخطرة,2017,Spring,243,7.6,10.0,1427,Low
1264,الملك عبدالعزيز,رعي الضأن أو الماعز (للرأس الواحد),2016,Spring,466,15.0,17.1,100,Low
1265,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2019,Spring,230,7.8,32.7,200,Low
1266,الملك خالد,الزراعة داخل المحمية بدون ترخيص,2012,Spring,3966,10.3,28.6,30000,Medium
1267,الإمام تركي,ترك أو رمي النفايات غير الخطرة,2008,Summer,216,8.1,8.4,8313,Low
1268,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2008,Autumn,29435,17.0,35.6,137212,High
1269,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2012,Summer,41659,4.5,14.2,1074098,High
1270,الملك عبدالعزيز,التخلص من نفايات خطرة داخل المحمية,2010,Autumn,88804,8.0,25.1,1340119,High
1271,الملك خالد,دخول المحمية بدون تصريح,2008,Winter,204,13.6,30.8,5000,Low
1272,الملك خالد,حرق النباتات أو الأشجار,2021,Autumn,734,2.3,22.4,20000,Medium
1273,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2000,Autumn,72619,17.3,38.9,227218,High
1274,الملك خالد,إطلاق كائنات فطرية غازية أو دخيلة,2018,Summer,39262,0.8,22.8,195964,High
1275,روضة التنهات,التخييم في المحمية بدون ترخيص,2021,Winter,454,1.1,28.6,9357,Low
1276,روضة التنهات,التخلص من نفايات خطرة داخل المحمية,2022,Summer,5496,12.5,36.7,366911,High
1277,روضة التنهات,جمع منتجات كائنات مهددة بالانقراض,2002,Spring,73259,12.1,3.8,99810,High
1278,الإمام تركي,ترك أو رمي النفايات غير الخطرة,2006,Autumn,459,3.1,2.9,5190,Low
1279,روضة التنهات,إشعال النار في غير الأماكن المخصصة,2022,Winter,1255,18.0,7.3,20000,Medium
1280,الملك خالد,رعي الإبل أو الأبقار (للرأس الواحد),2018,Winter,38,17.9,49.1,200,Low
1281,الملك خالد,إتلاف المنشآت الثابتة أو المسيجات,2008,Spring,22529,7.1,21.1,103546,High
1282,روضة التنهات,رعي الضأن أو الماعز (للرأس الواحد),2007,Autumn,447,4.3,34.7,100,Low
1283,الملك عبدالعزيز,ترك أو رمي النفايات غير الخطرة,2008,Spring,403,9.1,39.8,3316,Low
1284,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2018,Autumn,11922,19.2,31.7,1676561,High
1285,الإمام تركي,ممارسة أنشطة علمية بدون ترخيص,2023,Autumn,4037,18.5,28.9,31346,Medium
1286,الملك عبدالعزيز,إطلاق كائنات فطرية غازية أو دخيلة,2016,Winter,51060,1.2,34.0,131943,High
1287,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2021,Spring,10355,6.1,40.4,96069,High
1288,الملك عبدالعزيز,إقامة منشآت أو مبانٍ بدون ترخيص,2008,Autumn,92273,6.8,29.9,1343961,High
1289,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2005,Summer,171,4.6,26.7,200,Low
1290,الملك عبدالعزيز,سير المركبات في غير المسارات المخصصة,2014,Spring,475,2.1,14.3,8864,Low
1291,الملك خالد,دخول المحمية بدون تصريح,2025,Summer,21,9.2,47.2,5000,Low
1292,الإمام تركي,سير المركبات في غير المسارات المخصصة,2018,Winter,42,14.2,22.5,5354,Low
1293,روضة التنهات,ترك أو رمي النفايات غير الخطرة,2007,Autumn,328,15.5,18.6,4083,Low
1294,روضة التنهات,ممارسة أنشطة علمية بدون ترخيص,2014,Summer,4681,2.5,22.2,43459,Medium
1295,روضة التنهات,إقامة منشآت أو مبانٍ بدون ترخيص,2022,Spring,91593,16.4,11.3,734410,High
1296,الإمام تركي,جمع منتجات كائنات مهددة بالانقراض,2025,Spring,59176,6.7,14.8,296553,High
1297,الملك عبدالعزيز,رعي الضأن أو الماعز (للرأس الواحد),2016,Autumn,275,9.8,16.4,100,Low
1298,روضة التنهات,جمع منتجات كائنات مهددة بالانقراض,2005,Spring,66731,13.2,47.6,136984,High
1299,الملك عبدالعزيز,إطلاق كائنات فطرية غازية أو دخيلة,2023,Winter,23325,11.3,7.6,104415,High
1300,الإمام تركي,إطلاق كائنات فطرية غازية أو دخيلة,2025,Spring,70609,2.4,13.1,60812,High
1301,الملك عبدالعزيز,رعي الإبل أو الأبقار (للرأس الواحد),2003,Spring,354,19.2,22.0,200,Low
1302,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2013,Spring,89785,15.8,1.9,468253,High
1303,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2015,Spring,37833,16.6,30.2,152566,High
1304,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2012,Summer,91612,0.7,17.6,1139098,High
1305,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2004,Autumn,3878,12.2,48.6,47433,Medium
1306,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2009,Autumn,632,12.4,34.9,20000,Medium
1307,الملك خالد,التخييم في المحمية بدون ترخيص,2025,Spring,243,7.5,47.6,5892,Low
1308,الإمام تركي,دخول المحمية بدون تصريح,2017,Winter,449,7.4,12.8,5000,Low
1309,الملك عبدالعزيز,إشعال النار في غير الأماكن المخصصة,2009,Spring,1134,15.9,9.9,20000,Medium
1310,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2024,Summer,2718,11.5,24.5,20000,Medium
1311,روضة التنهات,ممارسة أنشطة علمية بدون ترخيص,2000,Autumn,1745,13.7,22.4,9245,Medium
1312,الملك عبدالعزيز,جمع منتجات كائنات مهددة بالانقراض,2000,Autumn,42145,13.2,45.6,322743,High
1313,روضة التنهات,إتلاف المنشآت الثابتة أو المسيجات,2018,Winter,54492,0.2,8.5,70951,High
1314,روضة التنهات,الزراعة داخل المحمية بدون ترخيص,2025,Autumn,1791,4.9,46.9,30000,Medium
1315,الملك خالد,رعي الضأن أو الماعز (للرأس الواحد),2025,Winter,325,13.9,6.9,100,Low
1316,الملك خالد,ترك أو رمي النفايات غير الخطرة,2005,Summer,209,13.8,28.8,3775,Low
1317,الإمام تركي,التخلص من نفايات خطرة داخل المحمية,2000,Summer,88108,15.4,22.3,1288596,High
1318,روضة التنهات,جمع منتجات كائنات مهددة بالانقراض,2011,Winter,6894,19.6,46.4,343129,High
1319,الملك عبدالعزيز,إطلاق كائنات فطرية غازية أو دخيلة,2025,Winter,72865,19.6,36.6,117631,High
1320,الملك خالد,جمع منتجات كائنات مهددة بالانقراض,2014,Spring,38038,11.7,48.8,230160,High
1321,الإمام تركي,قطع الأشجار أو الاحتطاب,2020,Summer,1218,10.6,16.9,20000,Medium
1322,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2023,Spring,43333,14.2,34.2,917651,Low
1323,روضة التنهات,رعي الإبل أو الأبقار (للرأس الواحد),2002,Summer,63,7.3,33.7,200,Low
1324,الإمام تركي,إطلاق كائنات فطرية غازية أو دخيلة,2003,Winter,78686,14.4,11.0,52875,High
1325,الملك عبدالعزيز,الزراعة داخل المحمية بدون ترخيص,2020,Autumn,3995,2.7,17.1,30000,Medium
1326,الملك خالد,رعي الضأن أو الماعز (للرأس الواحد),2009,Summer,68,0.5,41.0,100,Low
1327,الملك عبدالعزيز,إطلاق كائنات فطرية غازية أو دخيلة,2009,Winter,65719,2.2,4.4,177795,High
1328,روضة التنهات,إطلاق كائنات فطرية غازية أو دخيلة,2000,Spring,63031,8.5,20.5,149593,High
1329,روضة التنهات,إشعال النار في غير الأماكن المخصصة,2010,Winter,4218,6.7,29.8,20000,Medium
1330,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2003,Autumn,259,9.0,22.4,7892,Low
1331,الملك عبدالعزيز,إقامة منشآت أو مبانٍ بدون ترخيص,2021,Spring,5036,16.6,47.9,1414668,High
1332,الملك خالد,ممارسة أنشطة علمية بدون ترخيص,2000,Autumn,2394,4.9,7.1,9328,Medium
1333,الملك خالد,قطع الأشجار أو الاحتطاب,2017,Spring,2310,15.9,31.2,20000,Medium
1334,روضة التنهات,الزراعة داخل المحمية بدون ترخيص,2024,Summer,4741,18.6,19.7,30000,Medium
1335,الملك خالد,سير المركبات في غير المسارات المخصصة,2013,Winter,72,14.0,11.1,3067,Low
1336,الملك خالد,إقامة منشآت أو مبانٍ بدون ترخيص,2006,Summer,97498,18.1,43.3,693444,High
1337,الملك خالد,رعي الإبل أو الأبقار (للرأس الواحد),2003,Autumn,463,2.6,28.7,200,Low
1338,الملك عبدالعزيز,دخول المحمية بدون تصريح,2011,Winter,26,15.7,41.3,5000,Low
1339,الإمام تركي,ترك أو رمي النفايات غير الخطرة,2011,Autumn,256,15.1,40.7,5825,Low
1340,الإمام تركي,جمع منتجات كائنات مهددة بالانقراض,2016,Autumn,68083,1.1,42.8,145028,High
1341,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2024,Winter,3462,10.7,3.5,20000,Medium
1342,الملك عبدالعزيز,إشعال النار في غير الأماكن المخصصة,2005,Winter,1091,10.4,38.4,20000,Medium
1343,الملك عبدالعزيز,التخلص من نفايات خطرة داخل المحمية,2024,Summer,46542,9.6,34.8,1322589,High
1344,الملك خالد,إتلاف المنشآت الثابتة أو المسيجات,2006,Autumn,39033,5.6,25.5,95213,High
1345,الإمام تركي,جمع منتجات كائنات مهددة بالانقراض,2021,Autumn,25044,1.4,41.7,149372,High
1346,الملك عبدالعزيز,ترك أو رمي النفايات غير الخطرة,2018,Summer,86,12.2,5.4,2387,Low
1347,الملك عبدالعزيز,إتلاف المنشآت الثابتة أو المسيجات,2023,Autumn,60048,11.8,23.0,143295,High
1348,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2006,Winter,59708,11.7,27.4,467141,High
1349,الملك عبدالعزيز,قطع الأشجار أو الاحتطاب,2000,Autumn,1914,1.4,1.1,20000,Medium
1350,الإمام تركي,سير المركبات في غير المسارات المخصصة,2007,Autumn,312,19.1,44.5,926,Low
1351,الإمام تركي,ترك أو رمي النفايات غير الخطرة,2014,Spring,434,5.1,12.2,4807,Low
1352,الإمام تركي,الزراعة داخل المحمية بدون ترخيص,2000,Winter,3227,19.7,16.1,30000,Medium
1353,الإمام تركي,قطع الأشجار أو الاحتطاب,2012,Summer,2555,10.0,21.6,20000,Medium
1354,الملك عبدالعزيز,ترك أو رمي النفايات غير الخطرة,2012,Winter,264,1.5,37.6,6594,Low
1355,الملك عبدالعزيز,ممارسة أنشطة علمية بدون ترخيص,2000,Autumn,2224,19.7,16.2,30677,Medium
1356,الملك خالد,حرق النباتات أو الأشجار,2014,Winter,1906,18.4,45.7,20000,Medium
1357,الملك خالد,إتلاف المنشآت الثابتة أو المسيجات,2007,Winter,91103,14.9,34.6,168368,High
1358,الملك خالد,حرق النباتات أو الأشجار,2014,Autumn,4353,5.1,22.4,20000,Medium
1359,الإمام تركي,قطع الأشجار أو الاحتطاب,2012,Autumn,4906,5.7,22.7,20000,Medium
1360,الملك عبدالعزيز,دخول المحمية بدون تصريح,2006,Summer,102,10.5,39.3,5000,Low
1361,روضة التنهات,قطع الأشجار أو الاحتطاب,2012,Summer,3360,18.6,46.7,20000,Medium
1362,الملك عبدالعزيز,إقامة منشآت أو مبانٍ بدون ترخيص,2019,Winter,98510,4.7,9.9,1577431,High
1363,الملك عبدالعزيز,التخلص من نفايات خطرة داخل المحمية,2023,Winter,22140,5.8,17.3,441700,High
1364,روضة التنهات,حرق النباتات أو الأشجار,2021,Autumn,1972,8.5,16.2,20000,Medium
1365,الملك خالد,قطع الأشجار أو الاحتطاب,2021,Autumn,3280,15.8,6.7,20000,Medium
1366,روضة التنهات,التخلص من نفايات خطرة داخل المحمية,2004,Autumn,46300,14.3,34.7,1234362,High
1367,الملك عبدالعزيز,التخييم في المحمية بدون ترخيص,2018,Autumn,66,9.2,42.5,5596,Low
1368,الملك خالد,حرق النباتات أو الأشجار,2008,Summer,3096,10.8,2.1,20000,Medium
1369,الملك عبدالعزيز,إقامة منشآت أو مبانٍ بدون ترخيص,2004,Winter,51104,7.9,20.9,1623798,High
1370,الملك خالد,رعي الضأن أو الماعز (للرأس الواحد),2011,Winter,101,17.8,24.1,100,Low
1371,الملك عبدالعزيز,إطلاق كائنات فطرية غازية أو دخيلة,2015,Autumn,60781,11.9,17.4,13869,High
1372,الإمام تركي,رعي الإبل أو الأبقار (للرأس الواحد),2012,Summer,416,2.0,45.8,200,Low
1373,الملك خالد,التخلص من نفايات خطرة داخل المحمية,2003,Summer,77980,13.6,4.3,277654,High
1374,الإمام تركي,التخييم في المحمية بدون ترخيص,2019,Summer,114,19.3,34.5,8700,Low
1375,الإمام تركي,حرق النباتات أو الأشجار,2008,Autumn,4456,18.0,23.0,20000,Medium
1376,الملك عبدالعزيز,ممارسة أنشطة علمية بدون ترخيص,2020,Spring,2025,5.4,43.2,47045,Medium
1377,الإمام تركي,إقامة منشآت أو مبانٍ بدون ترخيص,2003,Autumn,74000,3.3,16.3,94179,High
1378,الإمام تركي,التخلص من نفايات خطرة داخل المحمية,2014,Summer,70424,15.5,40.1,474054,High
1379,الإمام تركي,إتلاف المنشآت الثابتة أو المسيجات,2012,Summer,61731,12.1,33.1,125010,High
